X,Y,OBJECTID,NAME,LONGITUDE,LATITUDE
587374.768500000238419,4796131.606599999592,34,North Wentworth Community Centre,-79.92254634666881,43.31294721249394
583137.45990000013262,4786366.753,35,Ancaster Old Town Hall,-79.97626454359411,43.22551230439663
590721.783200000412762,4789607.2584,36,Ryerson Recreation Centre,-79.88235644210206,43.25381278788129
590050.914099999703467,4798151.3581,37,Sealey Park Scout Hall,-79.88922044290048,43.330815209686776
564831.473899999633431,4794111.629599999636,38,Sheffield Community Hall,-80.2007439892497,43.29704067583658
587561.800599999725819,4787039.6555,39,Sir Allan Macnab Recreation Centre,-79.92168665738289,43.23107007362862
598539.500300000421703,4785717.948,40,Sir Wilfrid Laurier Recreation Centre,-79.78676166429753,43.21781710413284
597780.789599999785423,4787899.808599999174,41,Sir Winston Churchill Recreation Centre,-79.79571433973884,43.23755850040588
600819.633600000292063,4786631.5624,42,Stoney Creek Optomist Community Centre,-79.7585276868391,43.22574089364487
585126.513000000268221,4784902.366499999538,43,Redeemer Sports Complex,-79.95200162372063,43.212106303957334
575528.300599999725819,4781727.02099999972,44,Ancaster Senior Achievement Centre (Asac),-80.07058372095855,43.18453817547859
570397.7708,4803699.1717,45,Valens Community Hall,-80.13089848389335,43.3828622273035
588533.006,4794893.0055,46,Valley Community Centre (Nigel Charlong),-79.90846575272751,43.30166070386504
597657.853900000452995,4782937.978099999949,47,Valley Park Rec Centre,-79.79810583569792,43.19290423842806
589772.797899999655783,4798511.094,48,Waterdown Memorial Hall,-79.89259153018527,43.33408713218786
589788.334599999710917,4786769.1146,49,Westmount Recreation Centre,-79.89431613007507,43.228372662169384
610015.957000000402331,4784991.878799999133,50,Winona Scout Hall,-79.64564256677153,43.20969529946014
609413.103400000371039,4784876.516599999741,51,Winona Senior Citizen Centre,-79.65308486860114,43.20874438631364
602228.424999999813735,4777858.2925,52,Woodburn Centennial Hall,-79.74280634128291,43.14656890666839
591733.423899999819696,4789677.559499999508,53,Ymca - Hamilton Downtown Family,-79.86988423359848,43.25432327073405
577525.668600000441074,4809482.3211,54,Mountsberg Hall,-80.04209171656004,43.434226463128375
592369.437199999578297,4786371.004599999636,55,Sackville Hill Senior's Centre,-79.86260426592914,43.22447690512324
581396.477300000376999,4785416.30599999987,56,Spring Valley Community Centre,-79.99783953126015,43.21714491028943
600951.409400000236928,4787385.957,57,Dominic Agostino Riverdale Community Centre,-79.756767354129,43.23251479104158
588177.143199999816716,4798512.199699999765,58,Ymca - Flamborough Family,-79.91227132361688,43.33428595880552
591597.145999999716878,4789665.4581,59,Ywca - Hamilton Family - Macnab St,-79.87156481014803,43.25423089450302
589760.283699999563396,4789972.8869,60,Soccer World,-79.89413985271617,43.25721965032598
594482.498399999924,4783555.9855,61,Mountain Sports Complex,-79.83707186564129,43.19887195088654
605362.107300000265241,4787292.496099999174,62,Players Paradise Sports Complex,-79.70248013367576,43.23107027746398
